Júlio Dantas,M
Júlio de Brito,M
Júlio de Matos,M
Júlio Dinis,M
Júlio Lourenço Pinto,M
Júlio Ramos,M
Junquilhos,
Justa,F
Justino Teixeira,
La Couture,
Lada,
Lagarteiro,
Lage,
Lamas,
Lameira de Baixo,
Lameira de Cima,
Lapa,
Laranjeiras,
Latino Coelho,
Lázaro,M
Leal,
Leça,
Leonardo Coimbra,M
Leonardo Nunes,M
Leote do Rego,
Levada,
Liberdade,
Liceiras,
Lidador,
Liége,
Lilases,
Lima,
Lima Júnior,
Limpopo,
Lindo Vale,
Linhas de Elvas,
Linhas de Torres,
Lírios,
Lis,F
Lisboa,
Lobão Vital,
Lóios,
Lomba,
Lopo de Almeida,M
Lopo de Carvalho,M
Lopo Soares de Albergaria,M
Loulé,
Loureiro,
Lourenço,M
Lousada,
Lugarinho,
Luís,M
Luís António Verney,M
Luís Braille,M
Luís Cabral,M
Luís Costa,M
Luís Cruz,M
Luís de Aguiar,M
Luís de Almeida,M
Luís de Ataíde,M
Luís Delgado dos Santos,M
Luís de Pina,M
Luís Ferreira,M
Luís Filipe,M
Luís Neves Real,M
Luís Pinto da Fonseca,M
Luís Rodrigues,M
Luís Serrão Pimentel,M
Luís Veiga Leitão,M
Luís Woodhouse,M
Lumiar,
Luz,F
Luzares,
Luzia,F
Luz Soriano,F
Macário,
Macau,
Maceda,
Machado,
Machado Vaz,
Macieiras,
Macieirinha,
Madeira,
Madressilvas,
Mafalda,F
Magalhães Lemos,
Magnólias,
Maia,F
Maio,
Malaca,
Malheiro,
Mamede,M
Manjericos,
Manuel Baganha,M
Manuel Bandeira,M
Manuel Carqueja,M
Manuel da Nóbrega,M
Manuel de Arriaga,M
Manuel Figueiredo,M
Manuel Gonçalves Moreira,M
Manuel Gonçalves Pereira Barros,M
Manuel II,M
Manuel Laranjeira,M
Manuel Marinho,M
Manuel Marques,M
Manuel Monterroso,M
Manuel Nunes,M
Manuel Pacheco de Miranda,M
Manuel Pereira da Silva,M
Manuel Pinheiro da Rocha,M
Manuel Pinto de Azevedo,M
Manuel Pinto de Azevedo Júnior,M
Marão,
Marçal,
Marco de Canaveses,M
Marcos,M
Margaridas,
